columns,rows,chunk_size,writing(μs),reading_all(μs),reading_100(μs)
100,5000,1000,176582.81326293945,3640.6517028808594,3514.0514373779297
200,5000,1000,18520.832061767578,7774.591445922852,4230.260848999023
300,5000,1000,25495.529174804688,9607.791900634766,4972.4578857421875
400,5000,1000,153174.87716674805,14768.838882446289,5517.244338989258
500,5000,1000,322558.4030151367,20170.68862915039,6528.139114379883
600,5000,1000,354686.7370605469,24108.171463012695,7552.146911621094
700,5000,1000,58553.93409729004,27384.042739868164,8079.52880859375
800,5000,1000,72985.17227172852,32060.38475036621,9196.043014526367
900,5000,1000,74551.82075500488,33458.709716796875,9269.475936889648
1000,5000,1000,81204.41436767578,29017.44842529297,10290.145874023438
2000,5000,1000,361990.45181274414,57487.24937438965,17136.096954345703
3000,5000,1000,1289093.255996704,101876.25885009766,24825.096130371094
4000,5000,1000,2388811.1114501953,106341.60041809082,31321.048736572266
5000,5000,1000,1466695.0702667236,149363.04092407227,41038.99002075195
6000,5000,1000,640930.4141998291,186611.41395568848,46882.62939453125
7000,5000,1000,4142068.1476593018,213249.92179870605,56127.54821777344
8000,5000,1000,631135.2252960205,242001.77192687988,65143.585205078125
9000,5000,1000,699358.4632873535,300451.75552368164,70341.11022949219
10000,5000,1000,1056462.049484253,382131.81495666504,77069.28253173828
20000,5000,1000,1607257.36618042,774283.6475372314,161175.72784423828
30000,5000,1000,10264730.69190979,1306500.4348754883,286897.1824645996
40000,5000,1000,7828981.399536133,2055587.2917175293,450106.8592071533
50000,5000,1000,17916814.32723999,2424383.1634521484,740444.4217681885
100,5000,10000,186384.4394683838,5508.184432983398,4427.671432495117
200,5000,10000,8696.556091308594,10107.994079589844,4542.350769042969
300,5000,10000,14533.758163452148,20699.262619018555,5094.289779663086
400,5000,10000,16927.003860473633,20514.726638793945,5373.954772949219
500,5000,10000,40856.59980773926,24741.172790527344,6014.108657836914
600,5000,10000,26542.186737060547,33705.949783325195,6313.562393188477
700,5000,10000,31011.104583740234,37922.38235473633,7151.126861572266
800,5000,10000,35406.58950805664,43229.57992553711,8123.3978271484375
900,5000,10000,42883.39614868164,49291.133880615234,9169.578552246094
1000,5000,10000,47059.059143066406,53547.14393615723,9475.469589233398
2000,5000,10000,87618.35098266602,106439.82887268066,13893.604278564453
3000,5000,10000,132628.9176940918,153652.19116210938,19386.768341064453
4000,5000,10000,2557851.552963257,208461.52305603027,25336.265563964844
5000,5000,10000,785138.3686065674,258691.31088256836,29506.683349609375
6000,5000,10000,1077451.9443511963,304876.08909606934,35551.07116699219
7000,5000,10000,3875354.528427124,371217.7276611328,42607.30743408203
8000,5000,10000,360226.1543273926,405032.8731536865,44754.743576049805
9000,5000,10000,408181.90574645996,455999.13597106934,51427.602767944336
10000,5000,10000,443814.9929046631,511806.0111999512,56260.82420349121
20000,5000,10000,7927078.008651733,1031042.5758361816,114247.08366394043
30000,5000,10000,2649271.9650268555,1611299.2763519287,174385.54763793945
40000,5000,10000,13348953.72390747,2147730.827331543,230386.25717163086
50000,5000,10000,12217528.343200684,2701804.3994903564,332482.09953308105
